Date,Close Price,Positive,Neutral,Negative
2017-06-19,2589.600098,194,184,7
2017-06-20,2721.790039,77,130,0
2017-06-21,2689.100098,1,0,0
2017-06-22,2705.409912,32,146,0
2017-06-23,2744.909912,3,0,3
2017-06-24,2608.719971,0,1,0
2017-06-25,2589.409912,3,0,7
2017-06-26,2478.449951,158,60,30
2017-06-27,2552.449951,70,4215,19
2017-06-28,2574.790039,59,172,2
2017-06-29,2539.320068,223,96,228
2017-06-30,2480.840088,60,232,25
2017-07-01,2434.550049,7,223,2
2017-07-02,2506.469971,263,191,39
2017-07-03,2564.060059,3,142,2
2017-07-05,2601.98999,2,42,37
2017-07-06,2608.560059,0,42,0
2017-07-07,2518.659912,55,69,1
2017-07-08,2571.340088,126,243,56
2017-07-09,2518.439941,0,41,0
2017-07-10,2372.560059,4,0,0
2017-07-11,2337.790039,36,8,0
2017-07-12,2398.840088,955,106,72
2017-07-13,2357.899902,50,104,0
2017-07-14,2233.340088,0,1,23
2017-07-15,1998.859985,9,5,3
2017-07-16,1929.819946,5,0,0
2017-07-17,2228.409912,2,0,2
2017-07-18,2318.879883,7,15,0
2017-07-19,2273.429932,104,90,0
2017-07-20,2817.600098,37,274,15
2017-07-21,2667.76001,119,210,0
2017-07-22,2810.120117,34,38,0
2017-07-23,2730.399902,586,50,1
2017-07-24,2754.860107,4,0,2
2017-07-25,2576.47998,2,99,0
2017-07-26,2529.449951,41,252,52
2017-07-27,2671.780029,552,68,18
2017-07-28,2809.01001,210,21,1
2017-07-29,2726.449951,0,0,103
2017-07-30,2757.179932,0,29,0
2017-07-31,2875.340088,18,49,0
2017-08-01,2718.26001,778,128,208
2017-08-03,2804.72998,0,0,47
2017-08-04,2895.889893,18,0,1
2017-08-05,3252.909912,91,205,70
2017-08-06,3213.939941,4627,30,0
2017-08-07,3378.939941,95,106,49
2017-08-08,3419.939941,1925,393,25
2017-08-09,3342.469971,0,0,2438
2017-08-10,3381.280029,239,108,1
2017-08-11,3650.620117,0,197,2
2017-08-13,4073.26001,5,0,1
2017-08-14,4325.129883,262,1,0
2017-08-15,4181.930176,0,20,105
2017-08-16,4376.629883,4,0,0
2017-08-17,4331.689941,3,77,36
2017-08-19,4193.700195,3,5,0
2017-08-21,4001.73999,4,2,1
2017-08-22,4100.52002,1,1,0
2017-08-23,4151.52002,1,0,1
2017-08-24,4334.680176,158,0,0
2017-08-25,4371.600098,8,2,37
2017-08-26,4352.399902,4,10,1
2017-08-27,4382.879883,96,0,2
2017-08-28,4382.660156,4,0,2
2017-08-30,4565.299805,0,164,0
2017-08-31,4703.390137,0,157,15
2017-09-01,4892.009766,203,107,0
2017-09-02,4578.77002,4,17,2
2017-09-04,4236.310059,129,39,4
2017-09-05,4376.529785,33,339,0
2017-09-06,4597.120117,949,26,38
2017-09-07,4599.879883,2,5,1
2017-09-08,4228.75,250,52,0
2017-09-10,4122.939941,5,0,0
2017-09-11,4161.27002,1,0,1
2017-09-13,3882.590088,5,59,1
2017-09-14,3154.949951,2,1,0
2017-09-15,3637.52002,284,103,234
2017-09-16,3625.040039,34,141,62
2017-09-17,3582.879883,68,654,0
2017-09-18,4065.199951,363,45,1
2017-09-19,3924.969971,59,54,0
2017-09-20,3905.949951,29,27,0
2017-09-21,3631.040039,1,0,1
2017-09-22,3630.699951,2,1646,0
2017-09-23,3792.399902,12,12,980
2017-09-24,3682.840088,0,827,1
2017-09-25,3926.070068,17,0,0
2017-09-26,3892.350098,1,7,0
2017-09-27,4200.669922,42,62,172
2017-09-28,4174.72998,1,1,0
2017-09-29,4163.069824,3,0,0
2017-09-30,4338.709961,0,2,0
2017-10-01,4403.740234,2,0,0
2017-10-02,4409.319824,323,0,10
2017-10-03,4317.47998,0,1,0
2017-10-04,4229.359863,0,1,1
2017-10-05,4328.410156,0,10,0
2017-10-06,4370.810059,181,28,8
2017-10-07,4426.890137,0,1,16
2017-10-08,4610.47998,5,39,0
2017-10-09,4772.02002,58,195,7
2017-10-10,4781.990234,60,140,308
2017-10-11,4826.47998,7,32,1
2017-10-12,5446.910156,1,258,3
2017-10-15,5678.189941,14555,2,34
2017-10-16,5725.589844,623,1,1
2017-10-17,5605.509766,1,3,0
2017-10-18,5590.689941,1,2,0
2017-10-19,5708.52002,69,113,6
2017-10-20,6011.450195,19,2,1
2017-10-21,6031.600098,8,1,0
2017-10-22,6008.419922,1,0,0
2017-10-23,5930.319824,11,6,0
2017-10-24,5526.640137,101,32,0
2017-10-25,5750.799805,1,37,0
2017-10-26,5904.830078,0,1,0
2017-10-27,5780.899902,35,57,1
2017-10-28,5753.089844,76,54,18
2017-10-29,6153.850098,62,0,0
2017-10-30,6130.529785,35,0,2
2017-10-31,6468.399902,239,26,199
2017-11-01,6767.310059,41,0,0
2017-11-02,7078.5,19,0,0
2017-11-03,7207.759766,358,0,0
2017-11-05,7407.410156,161,162,0
2017-11-07,7144.379883,7,98,0
2017-11-08,7459.689941,51,529,0
2017-11-09,7143.580078,187,1,20
2017-11-10,6618.140137,49,0,60
2017-11-11,6357.600098,13,148,0
2017-11-12,5950.069824,0,52,111
2017-11-14,6635.75,234,0,0
2017-11-15,7315.540039,170,0,0
2017-11-17,7708.990234,466,0,0
2017-11-18,7790.149902,5,42,20
2017-11-19,8036.490234,0,177,11
2017-11-20,8200.639648,1019,174,0
2017-11-21,8071.259766,79,299,0
2017-11-22,8253.549805,58,21431,3
2017-11-23,8038.77002,59,256,12
2017-11-24,8253.69043,0,21,0
2017-11-26,9330.549805,89,125,0
2017-11-27,9818.349609,0,119,0
2017-11-28,10058.799805,1,0,0
2017-11-29,9888.610352,0,1793,0
2017-11-30,10233.599609,0,0,100
2017-12-01,10975.599609,32,0,5763
2017-12-02,11074.599609,13,0,0
2017-12-03,11323.200195,0,27,0
2017-12-04,11657.200195,23,0,0
2017-12-05,11916.700195,204,92,0
2017-12-06,14291.5,620,1,0
2017-12-07,17899.699219,256,1211,192
2017-12-08,16569.400391,47,0,0
2017-12-09,15178.200195,0,3,2008
2017-12-10,15455.400391,137,40,0
2017-12-11,16936.800781,60,251,1
2017-12-12,17415.400391,1487,103,90
2017-12-13,16408.199219,47,2647,0
2017-12-14,16564.0,296,0,0
2017-12-15,17706.900391,7086,50,0
2017-12-16,19497.400391,14,67,0
2017-12-17,19140.800781,0,0,44
2017-12-18,19114.199219,2059,458,0
2017-12-19,17776.699219,115,13,0
2017-12-20,16624.599609,274,238,19
2017-12-21,15802.900391,259,46,1
2017-12-22,13831.799805,531,1108,484
2017-12-23,14699.200195,62,86,28
2017-12-24,13925.799805,0,138,0
2017-12-25,14026.599609,0,24,0
2017-12-27,15838.5,3,58,1
2017-12-28,14606.5,659,32,0
2017-12-29,14656.200195,102,347,671
2017-12-30,12952.200195,34094,237,43
2017-12-31,14156.400391,70,5,0
2018-01-01,13657.200195,191,327,5
2018-01-02,14982.099609,548,198,21
2018-01-03,15201.0,198,504,18
2018-01-04,15599.200195,8,1267,0
2018-01-05,17429.5,475,1784,20
2018-01-06,17527.0,212,88,3
2018-01-07,16477.599609,308,36,19
2018-01-08,15170.099609,1,0,0
2018-01-09,14595.400391,371,150,5
2018-01-10,14973.299805,5,80,40
2018-01-11,13405.799805,1350,9917,1
2018-01-12,13980.599609,0,216,5
2018-01-13,14360.200195,172,14,5
2018-01-14,13772.0,67,75,77
2018-01-15,13819.799805,5,0,0
2018-01-16,11490.5,315,90,63
2018-01-17,11188.599609,195,6,4
2018-01-18,11474.900391,6,186,849
2018-01-19,11607.400391,20,0,0
2018-01-20,12899.200195,21,0,0
2018-01-21,11600.099609,55,0,52
2018-01-22,10931.400391,53,405,0
2018-01-23,10868.400391,0,531,0
2018-01-24,11359.400391,148,66,41
2018-01-25,11259.400391,84,0,0
2018-01-26,11171.400391,188,223,1
2018-01-27,11440.700195,152,15,0
2018-01-28,11786.299805,137,55,0
2018-01-29,11296.400391,756,207,0
2018-01-30,10106.299805,0,0,4
2018-01-31,10221.099609,102,76,0
2018-02-01,9170.540039,269,276,104
2018-02-02,8830.75,27425,308,21
2018-02-03,9174.910156,431,22,2336
2018-02-05,6955.27002,61,674,395
2018-02-06,7754.0,484,2026,737
2018-02-07,7621.299805,3128,629,124
2018-02-08,8265.589844,950,407,58
2018-02-09,8736.980469,578,744,292
2018-02-10,8621.900391,29,59,0
2018-02-11,8129.970215,106,0,570
2018-02-12,8926.570313,30,0,671
2018-02-13,8598.30957,1644,132,55
2018-02-14,9494.629883,1002,604,63
2018-02-15,10166.400391,73,70,1
2018-02-16,10233.900391,245,76,3
2018-02-17,11112.700195,10,0,0
2018-02-18,10551.799805,1055,1,0
2018-02-19,11225.299805,67,213,786
2018-02-20,11403.700195,59,81,0
2018-02-21,10690.400391,1,8,0
2018-02-22,10005.0,231,4,0
2018-02-23,10301.099609,538,141,4
2018-02-24,9813.070313,1,351,2
2018-02-26,10366.700195,610,159,0
2018-02-27,10725.599609,203,179,0
2018-02-28,10397.900391,161,427,12
2018-03-01,10951.0,23,0,0
2018-03-02,11086.400391,131,5,0
2018-03-04,11512.599609,0,78,0
2018-03-05,11573.299805,0,57,0
2018-03-06,10779.900391,465,0,0
2018-03-10,8866.0,61,70,0
2018-03-11,9578.629883,271,80,0
2018-03-12,9205.120117,110,0,0
2018-03-13,9194.849609,97,13,0
2018-03-14,8269.80957,1120,546,81
2018-03-15,8300.860352,383,543,105
2018-03-16,8338.349609,201,242,0
2018-03-17,7916.879883,43,29,0
2018-03-18,8223.679688,155,420,37
2018-03-19,8630.650391,451,542,187
2018-03-20,8913.469727,543,867,119
2018-03-21,8929.280273,634,369,147
2018-03-22,8728.469727,117,570,154
2018-03-23,8879.620117,154,459,31
2018-03-24,8668.120117,52,4838,59
2018-03-25,8495.780273,66,613,1
2018-03-26,8209.400391,171,662,146
2018-03-27,7833.040039,287,331,40
2018-03-28,7954.47998,598,944,19
2018-03-29,7165.700195,200,386,176
2018-03-30,6890.52002,29,124,27
2018-03-31,6973.529785,0,122,0
2018-04-01,6844.22998,36,24,0
2018-04-02,7083.799805,661,168,96
2018-04-03,7456.109863,85,579,153
2018-04-04,6853.839844,61,318,38
2018-04-05,6811.470215,357,591,34
